date,real_estate_market_value
1945-10-01,142811
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,159407.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,187736.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,199450.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,203936.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,220714.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,240645.0
1952-01-01,247776.0
1952-04-01,249166.0
1952-07-01,248236.0
1952-10-01,251382.0
1953-01-01,252850.0
1953-04-01,255579.0
1953-07-01,258630.0
1953-10-01,259102.0
1954-01-01,260323.0
1954-04-01,261677.0
1954-07-01,263287.0
1954-10-01,265003.0
1955-01-01,265939.0
1955-04-01,270079.0
1955-07-01,276744.0
1955-10-01,285179.0
1956-01-01,296669.0
1956-04-01,299127.0
1956-07-01,307973.0
1956-10-01,313564.0
1957-01-01,318689.0
1957-04-01,323585.0
1957-07-01,327499.0
1957-10-01,330035.0
1958-01-01,331473.0
1958-04-01,333382.0
1958-07-01,335558.0
1958-10-01,337847.0
1959-01-01,341236.0
1959-04-01,343483.0
1959-07-01,345763.0
1959-10-01,348117.0
1960-01-01,348684.0
1960-04-01,349886.0
1960-07-01,351278.0
1960-10-01,352721.0
1961-01-01,353922.0
1961-04-01,356782.0
1961-07-01,359704.0
1961-10-01,362550.0
1962-01-01,364783.0
1962-04-01,366637.0
1962-07-01,369051.0
1962-10-01,371962.0
1963-01-01,373814.0
1963-04-01,376082.0
1963-07-01,378751.0
1963-10-01,381280.0
1964-01-01,383269.0
1964-04-01,389496.0
1964-07-01,392715.0
1964-10-01,399403.0
1965-01-01,403906.0
1965-04-01,409070.0
1965-07-01,413283.0
1965-10-01,423994.0
1966-01-01,426137.0
1966-04-01,438944.0
1966-07-01,443923.0
1966-10-01,454030.0
1967-01-01,458412.0
1967-04-01,464960.0
1967-07-01,472338.0
1967-10-01,483207.0
1968-01-01,492622.0
1968-04-01,501875.0
1968-07-01,510631.0
1968-10-01,524866.0
1969-01-01,536335.0
1969-04-01,550670.0
1969-07-01,563559.0
1969-10-01,580412.0
1970-01-01,592236.0
1970-04-01,617939.0
1970-07-01,622639.0
1970-10-01,638014.0
1971-01-01,654188.0
1971-04-01,672198.0
1971-07-01,690481.0
1971-10-01,707036.0
1972-01-01,728970.0
1972-04-01,743308.0
1972-07-01,758900.0
1972-10-01,775700.0
1973-01-01,793180.0
1973-04-01,819298.0
1973-07-01,851935.0
1973-10-01,883295.0
1974-01-01,911391.0
1974-04-01,956292.0
1974-07-01,1010500.0
1974-10-01,1062857.0
1975-01-01,1104445.0
1975-04-01,1132711.0
1975-07-01,1149775.0
1975-10-01,1170931.0
1976-01-01,1189774.0
1976-04-01,1225910.0
1976-07-01,1258739.0
1976-10-01,1292062.0
1977-01-01,1331390.0
1977-04-01,1361526.0
