date,disposable_income
1946-10-01,2643
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,5829.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,10504.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,9816.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,7903.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,8424.0
1952-01-01,9802.0
1952-04-01,8905.0
1952-07-01,8711.0
1952-10-01,11071.0
1953-01-01,10544.0
1953-04-01,9539.0
1953-07-01,8870.0
1953-10-01,6247.0
1954-01-01,8663.0
1954-04-01,9434.0
1954-07-01,10387.0
1954-10-01,12321.0
1955-01-01,14428.0
1955-04-01,15425.0
1955-07-01,14815.0
1955-10-01,15203.0
1956-01-01,13414.0
1956-04-01,13036.0
1956-07-01,13794.0
1956-10-01,13503.0
1957-01-01,14197.0
1957-04-01,13592.0
1957-07-01,13068.0
1957-10-01,11222.0
1958-01-01,8529.0
1958-04-01,9345
1958-07-01,11363.0
1958-10-01,14099
1959-01-01,15372.0
1959-04-01,17737.0
1959-07-01,14937.0
1959-10-01,15480
1960-01-01,15608.0
1960-04-01,14738.0
1960-07-01,15087.0
1960-10-01,14219.0
1961-01-01,13300.0
1961-04-01,15183.0
1961-07-01,15867.0
1961-10-01,17360.0
1962-01-01,19645.0
1962-04-01,19942.0
1962-07-01,20774.0
1962-10-01,22582.0
1963-01-01,23461.0
1963-04-01,24491.0
1963-07-01,24931.0
1963-10-01,25090.0
1964-01-01,27737
1964-04-01,27899.0
1964-07-01,27993.0
1964-10-01,28229.0
1965-01-01,32071.0
1965-04-01,32878.0
1965-07-01,33658.0
1965-10-01,35336.0
1966-01-01,37145.0
1966-04-01,36624.0
1966-07-01,35635.0
1966-10-01,36641.0
1967-01-01,35220.0
1967-04-01,34271.0
1967-07-01,34088.0
1967-10-01,34725.0
1968-01-01,31427.0
1968-04-01,33460.0
1968-07-01,33661.0
1968-10-01,33665.0
1969-01-01,31955.0
1969-04-01,30352.0
1969-07-01,28492.0
1969-10-01,23822.0
1970-01-01,21324.0
1970-04-01,22490
1970-07-01,21092.0
1970-10-01,20602.0
1971-01-01,26519
1971-04-01,28090.0
1971-07-01,31399.0
1971-10-01,34445
1972-01-01,36139.0
1972-04-01,37803.0
1972-07-01,40701.0
1972-10-01,42798.0
1973-01-01,45350.0
1973-04-01,43266.0
1973-07-01,44702.0
1973-10-01,42325.0
1974-01-01,36092.0
1974-04-01,32372.0
1974-07-01,24585.0
1974-10-01,28781.0
1975-01-01,38145.0
1975-04-01,43923.0
1975-07-01,48100.0
1975-10-01,51983.0
1976-01-01,57259.0
1976-04-01,58009.0
1976-07-01,60412.0
1976-10-01,60576.0
1977-01-01,61633.0
1977-04-01,70802.0
1977-07-01,78433.0
1977-10-01,74548.0
1978-01-01,74260.0
1978-04-01,83587.0
1978-07-01,86689.0
1978-10-01,89231.0
1979-01-01,89192.0
1979-04-01,87137.0
1979-07-01,81210
1979-10-01,76715.0
1980-01-01,60144.0
1980-04-01,60179.0
1980-07-01,58099.0
1980-10-01,64660.0
1981-01-01,74838.0
1981-04-01,84646.0
1981-07-01,91911.0
1981-10-01,88887.0
1982-01-01,84230.0
1982-04-01,85744.0
1982-07-01,85318.0
1982-10-01,86313.0
1983-01-01,96308
1983-04-01,101275.0
1983-07-01,108384.0
1983-10-01,120848.0
1984-01-01,136286.0
1984-04-01,142690
1984-07-01,153782.0
1984-10-01,160034
1985-01-01,157775.0
1985-04-01,155602.0
1985-07-01,157752.0
1985-10-01,136907
1986-01-01,112816.0
1986-04-01,104409.0
1986-07-01,96531.0
1986-10-01,89553.0
1987-01-01,102978.0
1987-04-01,111312.0
1987-07-01,125391.0
1987-10-01,130190.0
1988-01-01,136533.0
1988-04-01,131376.0
1988-07-01,127027.0
1988-10-01,126797.0
1989-01-01,101516.0
1989-04-01,102015.0
1989-07-01,103497.0
1989-10-01,91849.0
1990-01-01,97127.0
1990-04-01,98949.0
1990-07-01,85771.0
1990-10-01,86760.0
1991-01-01,97519.0
1991-04-01,105513.0
1991-07-01,105035.0
1991-10-01,98982.0
1992-01-01,97912.0
1992-04-01,95034.0
1992-07-01,95228.0
1992-10-01,107500.0
1993-01-01,114476.0
1993-04-01,125601.0
1993-07-01,144084.0
1993-10-01,150530.0
1994-01-01,165306.0
1994-04-01,175211.0
1994-07-01,177141.0
1994-10-01,187415.0
1995-01-01,193113.0
1995-04-01,206173.0
1995-07-01,225081.0
1995-10-01,232625.0
1996-01-01,242468.0
1996-04-01,242630.0
1996-07-01,249324.0
1996-10-01,259500.0
1997-01-01,275374.0
1997-04-01,274332.0
1997-07-01,275919.0
1997-10-01,259742.0
1998-01-01,217465.0
1998-04-01,212083.0
1998-07-01,216980.0
1998-10-01,214100.0
1999-01-01,234178.0
1999-04-01,244203.0
1999-07-01,229547.0
1999-10-01,212507.0
2000-01-01,192575.0
2000-04-01,179312.0
2000-07-01,174714.0
2000-10-01,136378.0
2001-01-01,150895.0
2001-04-01,148034.0
2001-07-01,149993.0
2001-10-01,134424.0
2002-01-01,195856.0
2002-04-01,216179.0
2002-07-01,231386.0
2002-10-01,263187.0
2003-01-01,257524.0
2003-04-01,281199.0
2003-07-01,291121.0
2003-10-01,289642.0
2004-01-01,297681.0
2004-04-01,312823.0
2004-07-01,335394.0
2004-10-01,357717.0
2005-01-01,373465.0
2005-04-01,448881.0
2005-07-01,422779.0
2005-10-01,463580.0
2006-01-01,429851.0
2006-04-01,384667.0
2006-07-01,399599.0
2006-10-01,375509.0
2007-01-01,344521.0
2007-04-01,354660.0
2007-07-01,315410.0
2007-10-01,313593.0
2008-01-01,268696.0
2008-04-01,272548.0
2008-07-01,344750.0
2008-10-01,369738.0
2009-01-01,356970.0
2009-04-01,328464.0
2009-07-01,378064.0
2009-10-01,452198.0
2010-01-01,540571.0
2010-04-01,576456.0
2010-07-01,650950.0
2010-10-01,609838.0
2011-01-01,545450.0
2011-04-01,614423.0
2011-07-01,630584.0
2011-10-01,600847.0
2012-01-01,584496.0
2012-04-01,582036.0
2012-07-01,551398.0
2012-10-01,585587.0
2013-01-01,641920.0
2013-04-01,662006.0
2013-07-01,642820.0
2013-10-01,621886.0
2014-01-01,543435.0
2014-04-01,572892.0
2014-07-01,620676.0
2014-10-01,614215.0
2015-01-01,572783.0
2015-04-01,546275.0
2015-07-01,564263.0
2015-10-01,453925.0
2016-01-01,481144.0
2016-04-01,415611.0
2016-07-01,403642.0
2016-10-01,389808.0
2017-01-01,441028.0
2017-04-01,471669.0
2017-07-01,455535.0
2017-10-01,504890.0
2018-01-01,601369.0
2018-04-01,609465.0
2018-07-01,641258.0
2018-10-01,658757.0
2019-01-01,619902.0
