date,net_worth
1945-10-01,112283
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,134720.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,174603.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,199971.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,200474.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,201788.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,216473.0
1952-01-01,223921.0
1952-04-01,222816.0
1952-07-01,224125.0
1952-10-01,236267.0
1953-01-01,244455.0
1953-04-01,259933.0
1953-07-01,270756.0
1953-10-01,255172.0
1954-01-01,247196.0
1954-04-01,235554.0
1954-07-01,217986.0
1954-10-01,215717.0
1955-01-01,214040.0
1955-04-01,198413.0
1955-07-01,193563.0
1955-10-01,199703.0
1956-01-01,198342.0
1956-04-01,214585.0
1956-07-01,234218.0
1956-10-01,220236.0
1957-01-01,245193.0
1957-04-01,233676.0
1957-07-01,268924.0
1957-10-01,270077.0
1958-01-01,258591.0
1958-04-01,245075.0
1958-07-01,217510.0
1958-10-01,205392.0
1959-01-01,204863.0
1959-04-01,197116.0
1959-07-01,211068.0
1959-10-01,190897.0
1960-01-01,217012.0
1960-04-01,210156.0
1960-07-01,241527.0
1960-10-01,194826.0
1961-01-01,152641.0
1961-04-01,157914.0
1961-07-01,151674.0
1961-10-01,139211.0
1962-01-01,155507.0
1962-04-01,260815.0
1962-07-01,247635.0
1962-10-01,171970.0
1963-01-01,153244.0
1963-04-01,137655.0
1963-07-01,125620.0
1963-10-01,148700.0
1964-01-01,127444.0
1964-04-01,121564.0
1964-07-01,111770.0
1964-10-01,97684.0
1965-01-01,93284.0
1965-04-01,122921.0
1965-07-01,83965.0
1965-10-01,63317.0
1966-01-01,89887.0
1966-04-01,134910.0
1966-07-01,203155.0
1966-10-01,190933.0
1967-01-01,124342.0
1967-04-01,120592.0
1967-07-01,99144.0
1967-10-01,81982.0
1968-01-01,156112.0
1968-04-01,95314.0
1968-07-01,111105.0
1968-10-01,16790.0
1969-01-01,78193.0
1969-04-01,126756.0
1969-07-01,177962.0
1969-10-01,238032.0
1970-01-01,286429.0
1970-04-01,451491.0
1970-07-01,370557.0
1970-10-01,322065.0
1971-01-01,278196.0
1971-04-01,299945.0
1971-07-01,339128.0
1971-10-01,301776.0
1972-01-01,288978.0
1972-04-01,310521.0
1972-07-01,315098.0
1972-10-01,211547.0
1973-01-01,310098.0
1973-04-01,416182.0
1973-07-01,407038.0
1973-10-01,594195.0
1974-01-01,674664.0
1974-04-01,805655.0
1974-07-01,1081419.0
1974-10-01,1232444.0
1975-01-01,1028626.0
1975-04-01,974986.0
1975-07-01,1078066.0
1975-10-01,1058824.0
1976-01-01,995663.0
1976-04-01,1042775.0
1976-07-01,1080388.0
1976-10-01,1095297.0
1977-01-01,1218973.0
1977-04-01,1247615.0
1977-07-01,1339240.0
1977-10-01,1421363.0
1978-01-01,1521054.0
1978-04-01,1540959.0
1978-07-01,1560802.0
1978-10-01,1681179.0
1979-01-01,1714362.0
1979-04-01,1805679.0
1979-07-01,1854155.0
1979-10-01,1903465.0
1980-01-01,2039891.0
1980-04-01,2025801.0
1980-07-01,2015251.0
1980-10-01,2001280.0
1981-01-01,2107684.0
1981-04-01,2248217.0
1981-07-01,2487092.0
1981-10-01,2510507.0
1982-01-01,2717149.0
1982-04-01,2767544.0
1982-07-01,2710776.0
1982-10-01,2534371.0
1983-01-01,2446939.0
1983-04-01,2283087.0
1983-07-01,2334304.0
1983-10-01,2466311.0
1984-01-01,2596667.0
1984-04-01,2730079.0
1984-07-01,2730626.0
1984-10-01,2801435.0
1985-01-01,2684531.0
1985-04-01,2637556.0
1985-07-01,2766056.0
1985-10-01,2565058.0
1986-01-01,2383843.0
1986-04-01,2328926.0
1986-07-01,2570331.0
1986-10-01,2403146.0
1987-01-01,2013164.0
1987-04-01,1994379.0
1987-07-01,1904221.0
1987-10-01,2604616.0
1988-01-01,2556420.0
1988-04-01,2548091.0
1988-07-01,2682022.0
1988-10-01,2693030.0
1989-01-01,2805811.0
1989-04-01,2648983.0
1989-07-01,2421510.0
1989-10-01,2315051.0
1990-01-01,2427161.0
1990-04-01,2316073.0
1990-07-01,2818127.0
1990-10-01,2563383.0
1991-01-01,2146979.0
1991-04-01,2189657.0
1991-07-01,1921850.0
1991-10-01,1393022.0
1992-01-01,1332269.0
1992-04-01,1341465.0
1992-07-01,1198527.0
1992-10-01,764352.0
1993-01-01,648568.0
1993-04-01,680213.0
1993-07-01,612839.0
1993-10-01,486696.0
1994-01-01,778880.0
1994-04-01,978185.0
1994-07-01,832572.0
1994-10-01,967719.0
1995-01-01,691512.0
1995-04-01,393208.0
1995-07-01,89869.0
1995-10-01,-166171.0
1996-01-01,-343255.0
1996-04-01,-569143.0
1996-07-01,-580622.0
1996-10-01,-568593.0
1997-01-01,-122520.0
1997-04-01,-1233588.0
1997-07-01,-1731425.0
1997-10-01,-1393663.0
1998-01-01,-2271498.0
1998-04-01,-2498035.0
1998-07-01,-1264264.0
1998-10-01,-2869725.0
1999-01-01,-3111894.0
